y,xL,xR,xR_mirror,d,d_sav,in_central
0.0,20.502,179.498,213.502,193.0,193.03636363636352,0
1.0,20.502,179.498,213.502,193.0,193.2090909090908,0
2.0,20.502,178.498,214.502,194.0,193.30389610389602,0
3.0,21.502,178.498,214.502,193.0,193.32077922077914,0
4.0,21.502,178.498,214.502,193.0,193.25974025974,0
5.0,21.502,178.498,214.502,193.0,193.09090909090884,0
6.0,22.502,177.498,215.502,193.0,192.7705627705625,0
7.0,22.502,177.498,215.502,193.0,192.62770562770535,0
8.0,23.502,177.498,215.502,192.0,192.3722943722941,0
9.0,23.502,177.498,215.502,192.0,192.13852813852787,0
10.0,23.502,177.498,215.502,192.0,192.0606060606058,0
11.0,24.502,176.498,216.502,192.0,191.93939393939368,0
12.0,24.502,176.498,216.502,192.0,191.8614718614716,0
13.0,24.502,176.498,216.502,192.0,191.62770562770535,0
14.0,25.502,176.498,216.502,191.0,191.3722943722941,0
15.0,25.502,176.498,216.502,191.0,191.13852813852787,0
16.0,25.502,176.498,216.502,191.0,190.96969696969668,0
17.0,25.502,176.498,216.502,191.0,190.99999999999972,0
18.0,26.502,175.498,217.502,191.0,191.03030303030278,0
19.0,26.502,175.498,217.502,191.0,190.8614718614716,0
20.0,26.502,175.498,217.502,191.0,190.71861471861445,0
21.0,27.502,175.498,217.502,190.0,190.31168831168804,0
22.0,27.502,175.498,217.502,190.0,189.9696969696967,0
23.0,27.502,175.498,217.502,190.0,189.73593073593048,0
24.0,28.502,175.498,217.502,189.0,189.74458874458844,0
25.0,28.502,174.498,218.502,190.0,189.79653679653654,0
26.0,28.502,174.498,218.502,190.0,189.69264069264045,0
27.0,28.502,174.498,218.502,190.0,189.56709956709932,0
28.0,29.502,174.498,218.502,189.0,189.46320346320317,0
29.0,29.502,174.498,218.502,189.0,189.13852813852787,0
30.0,29.502,174.498,218.502,189.0,189.06060606060578,0
31.0,30.502,173.498,219.502,189.0,188.93939393939365,0
32.0,30.502,173.498,219.502,189.0,188.8614718614716,0
33.0,30.502,173.498,219.502,189.0,188.62770562770538,0
34.0,31.502,173.498,219.502,188.0,188.3722943722941,0
35.0,31.502,173.498,219.502,188.0,188.22943722943697,0
36.0,31.502,173.498,219.502,188.0,187.99999999999972,0
37.0,32.502,172.498,220.502,188.0,187.7705627705625,0
38.0,32.502,172.498,220.502,188.0,187.62770562770538,0
39.0,33.502,172.498,220.502,187.0,187.3722943722941,0
40.0,33.502,172.498,220.502,187.0,187.13852813852787,0
41.0,33.502,172.498,220.502,187.0,187.06060606060578,0
42.0,34.502,171.498,221.502,187.0,186.93939393939368,0
43.0,34.502,171.498,221.502,187.0,186.7705627705625,0
44.0,34.502,171.498,221.502,187.0,186.68831168831144,0
45.0,35.502,171.498,221.502,186.0,186.54112554112527,0
