y,x_sub
0.0,294.498
1.0,294.498
2.0,294.498
3.0,294.498
4.0,293.498
5.0,293.498
6.0,293.498
7.0,293.498
8.0,292.498
9.0,292.498
10.0,292.498
11.0,292.498
12.0,292.498
13.0,291.498
14.0,291.498
15.0,291.498
16.0,291.498
17.0,291.498
18.0,290.498
19.0,290.498
20.0,290.498
21.0,290.498
22.0,290.498
23.0,289.498
24.0,289.498
25.0,289.498
26.0,289.498
27.0,289.498
28.0,288.498
29.0,288.498
30.0,288.498
31.0,288.498
32.0,288.498
33.0,287.498
34.0,287.498
35.0,287.498
36.0,287.498
37.0,287.498
38.0,286.498
39.0,286.498
40.0,286.498
41.0,286.498
42.0,286.498
43.0,285.498
44.0,285.498
45.0,285.498
46.0,285.498
47.0,285.498
48.0,285.498
49.0,284.498
50.0,284.498
51.0,284.498
52.0,284.498
53.0,284.498
54.0,283.498
55.0,283.498
56.0,283.498
57.0,283.498
58.0,283.498
59.0,283.498
60.0,282.498
61.0,282.498
62.0,282.498
63.0,282.498
64.0,282.498
65.0,281.498
66.0,281.498
67.0,281.498
68.0,281.498
69.0,281.498
70.0,281.498
71.0,280.498
72.0,280.498
73.0,280.498
74.0,280.498
75.0,280.498
76.0,279.498
77.0,279.498
78.0,279.498
79.0,279.498
80.0,279.498
81.0,278.498
82.0,278.498
83.0,278.498
84.0,278.498
85.0,278.498
86.0,278.498
87.0,277.498
88.0,277.498
89.0,277.498
90.0,277.498
91.0,277.498
92.0,276.498
93.0,276.498
94.0,276.498
95.0,276.498
96.0,276.498
97.0,276.498
98.0,275.498
99.0,275.498
100.0,275.498
101.0,275.498
102.0,275.498
103.0,274.498
104.0,274.498
105.0,274.498
106.0,274.498
107.0,274.498
108.0,274.498
109.0,274.498
110.0,273.498
111.0,273.498
112.0,273.498
113.0,273.498
114.0,273.498
115.0,273.498
116.0,273.498
117.0,272.498
118.0,272.498
119.0,272.498
120.0,272.498
121.0,272.498
122.0,272.498
123.0,272.498
124.0,271.498
125.0,271.498
126.0,271.498
127.0,271.498
128.0,271.498
129.0,271.498
130.0,270.498
131.0,270.498
132.0,270.498
133.0,270.498
134.0,270.498
135.0,270.498
136.0,270.498
137.0,269.498
138.0,269.498
139.0,269.498
140.0,269.498
141.0,269.498
142.0,269.498
143.0,269.498
144.0,268.498
145.0,268.498
146.0,268.498
147.0,268.498
148.0,268.498
149.0,268.498
150.0,268.498
151.0,267.498
152.0,267.498
153.0,267.498
154.0,267.498
155.0,267.498
156.0,267.498
157.0,267.498
158.0,266.498
159.0,266.498
160.0,266.498
161.0,266.498
162.0,266.498
163.0,266.498
164.0,265.498
165.0,265.498
166.0,265.498
167.0,265.498
168.0,265.498
169.0,265.498
170.0,265.498
171.0,264.498
172.0,264.498
173.0,264.498
174.0,264.498
175.0,264.498
176.0,264.498
177.0,264.498
178.0,263.498
179.0,263.498
180.0,263.498
181.0,263.498
182.0,263.498
183.0,263.498
184.0,263.498
185.0,262.498
186.0,262.498
187.0,262.498
188.0,262.498
189.0,262.498
190.0,262.498
191.0,262.498
192.0,262.498
193.0,262.498
194.0,261.498
195.0,261.498
196.0,261.498
197.0,261.498
198.0,261.498
199.0,261.498
200.0,261.498
201.0,261.498
202.0,261.498
203.0,261.498
204.0,260.498
205.0,260.498
206.0,260.498
207.0,260.498
208.0,260.498
209.0,260.498
210.0,260.498
211.0,260.498
212.0,260.498
213.0,260.498
214.0,260.498
215.0,260.498
216.0,260.498
217.0,260.498
218.0,260.498
219.0,260.498
220.0,260.498
221.0,260.498
222.0,260.498
223.0,260.498
224.0,260.498
225.0,259.498
226.0,259.498
227.0,259.498
228.0,259.498
229.0,259.498
230.0,259.498
231.0,259.498
232.0,259.498
233.0,259.498
234.0,259.498
235.0,259.498
236.0,259.498
237.0,259.498
238.0,259.498
239.0,259.498
240.0,259.498
241.0,259.498
242.0,259.498
243.0,259.498
244.0,259.498
245.0,259.498
246.0,259.498
247.0,259.498
248.0,259.498
249.0,259.498
250.0,259.498
251.0,259.498
252.0,259.498
253.0,259.498
254.0,259.498
255.0,259.498
256.0,259.498
257.0,259.498
258.0,259.498
259.0,259.498
260.0,259.498
261.0,260.498
262.0,260.498
263.0,260.498
264.0,260.498
265.0,260.498
266.0,260.498
267.0,260.498
268.0,260.498
269.0,260.498
270.0,261.498
271.0,261.498
272.0,261.498
273.0,261.498
274.0,261.498
275.0,261.498
276.0,261.498
277.0,262.498
278.0,262.498
279.0,262.498
280.0,262.498
281.0,262.498
282.0,262.498
283.0,263.498
284.0,263.498
285.0,263.498
286.0,263.498
287.0,263.498
288.0,264.498
289.0,264.498
290.0,264.498
291.0,264.498
292.0,264.498
293.0,264.498
294.0,265.498
295.0,265.498
296.0,265.498
297.0,265.498
298.0,265.498
299.0,265.498
300.0,266.498
301.0,266.498
302.0,266.498
303.0,266.498
304.0,266.498
305.0,266.498
306.0,266.498
307.0,267.498
308.0,267.498
309.0,267.498
310.0,267.498
311.0,267.498
312.0,267.498
313.0,267.498
314.0,267.498
315.0,267.498
316.0,267.498
317.0,267.498
318.0,267.498
319.0,267.498
320.0,268.498
321.0,268.498
322.0,268.498
323.0,268.498
324.0,268.498
325.0,268.498
326.0,268.498
327.0,268.498
328.0,268.498
329.0,268.498
330.0,269.498
331.0,269.498
332.0,269.498
333.0,269.498
334.0,269.498
335.0,269.498
336.0,269.498
337.0,269.498
338.0,269.498
339.0,269.498
340.0,269.498
341.0,268.498
342.0,268.498
343.0,268.498
344.0,268.498
345.0,268.498
346.0,268.498
347.0,268.498
348.0,268.498
349.0,268.498
350.0,268.498
351.0,268.498
352.0,268.498
353.0,268.498
354.0,268.498
355.0,268.498
356.0,268.498
357.0,268.498
358.0,268.498
359.0,268.498
360.0,268.498
361.0,268.498
362.0,268.498
363.0,268.498
364.0,269.498
365.0,269.498
366.0,269.498
367.0,269.498
368.0,269.498
369.0,269.498
370.0,269.498
371.0,269.498
372.0,269.498
373.0,269.498
374.0,269.498
375.0,269.498
376.0,269.498
377.0,269.498
378.0,269.498
379.0,269.498
380.0,270.498
381.0,270.498
382.0,270.498
383.0,270.498
384.0,270.498
385.0,270.498
386.0,270.498
387.0,270.498
388.0,270.498
389.0,270.498
390.0,270.498
391.0,270.498
392.0,270.498
393.0,271.498
394.0,271.498
395.0,271.498
396.0,271.498
397.0,271.498
398.0,271.498
399.0,271.498
400.0,271.498
401.0,272.498
402.0,272.498
403.0,272.498
404.0,272.498
405.0,272.498
406.0,273.498
407.0,273.498
408.0,273.498
409.0,273.498
410.0,273.498
411.0,274.498
412.0,274.498
413.0,274.498
414.0,274.498
415.0,275.498
416.0,275.498
417.0,275.498
418.0,276.498
419.0,276.498
420.0,276.498
421.0,277.498
422.0,277.498
423.0,277.498
424.0,278.498
425.0,278.498
426.0,278.498
