y,x_sub
0.0,179.498
1.0,179.498
2.0,178.498
3.0,178.498
4.0,178.498
5.0,178.498
6.0,177.498
7.0,177.498
8.0,177.498
9.0,177.498
10.0,177.498
11.0,176.498
12.0,176.498
13.0,176.498
14.0,176.498
15.0,176.498
16.0,176.498
17.0,176.498
18.0,175.498
19.0,175.498
20.0,175.498
21.0,175.498
22.0,175.498
23.0,175.498
24.0,175.498
25.0,174.498
26.0,174.498
27.0,174.498
28.0,174.498
29.0,174.498
30.0,174.498
31.0,173.498
32.0,173.498
33.0,173.498
34.0,173.498
35.0,173.498
36.0,173.498
37.0,172.498
38.0,172.498
39.0,172.498
40.0,172.498
41.0,172.498
42.0,171.498
43.0,171.498
44.0,171.498
45.0,171.498
46.0,171.498
47.0,170.498
48.0,170.498
49.0,170.498
50.0,170.498
51.0,170.498
52.0,169.498
53.0,169.498
54.0,169.498
55.0,169.498
56.0,169.498
57.0,169.498
58.0,168.498
59.0,168.498
60.0,168.498
61.0,168.498
62.0,168.498
63.0,168.498
64.0,168.498
65.0,167.498
66.0,167.498
67.0,167.498
68.0,167.498
69.0,167.498
70.0,167.498
71.0,167.498
72.0,166.498
73.0,166.498
74.0,166.498
75.0,166.498
76.0,166.498
77.0,166.498
78.0,165.498
79.0,165.498
80.0,165.498
81.0,165.498
82.0,165.498
83.0,165.498
84.0,164.498
85.0,164.498
86.0,164.498
87.0,164.498
88.0,163.498
89.0,163.498
90.0,163.498
91.0,163.498
92.0,163.498
93.0,163.498
94.0,162.498
95.0,162.498
96.0,162.498
97.0,162.498
98.0,162.498
99.0,161.498
100.0,161.498
101.0,161.498
102.0,161.498
103.0,160.498
104.0,160.498
105.0,160.498
106.0,160.498
107.0,160.498
108.0,159.498
109.0,159.498
110.0,159.498
111.0,159.498
112.0,159.498
113.0,159.498
114.0,159.498
115.0,158.498
116.0,158.498
117.0,158.498
118.0,158.498
119.0,158.498
120.0,158.498
121.0,157.498
122.0,157.498
123.0,157.498
124.0,157.498
125.0,156.498
126.0,156.498
127.0,156.498
128.0,156.498
129.0,156.498
130.0,155.498
131.0,155.498
132.0,155.498
133.0,155.498
134.0,155.498
135.0,155.498
136.0,155.498
137.0,155.498
138.0,154.498
139.0,154.498
140.0,154.498
141.0,154.498
142.0,154.498
143.0,154.498
144.0,154.498
145.0,154.498
146.0,154.498
147.0,154.498
148.0,153.498
149.0,153.498
150.0,153.498
151.0,153.498
152.0,153.498
153.0,153.498
154.0,153.498
155.0,153.498
156.0,153.498
157.0,152.498
158.0,152.498
159.0,152.498
160.0,152.498
161.0,152.498
162.0,152.498
163.0,152.498
164.0,152.498
165.0,152.498
166.0,152.498
167.0,152.498
168.0,152.498
169.0,152.498
170.0,152.498
171.0,152.498
172.0,152.498
173.0,152.498
174.0,152.498
175.0,152.498
176.0,152.498
177.0,152.498
178.0,152.498
179.0,152.498
180.0,152.498
181.0,152.498
182.0,152.498
183.0,152.498
184.0,152.498
185.0,152.498
186.0,152.498
187.0,152.498
188.0,152.498
189.0,152.498
190.0,152.498
191.0,152.498
192.0,152.498
193.0,152.498
194.0,152.498
195.0,152.498
196.0,152.498
197.0,152.498
198.0,153.498
199.0,153.498
200.0,153.498
201.0,153.498
202.0,153.498
203.0,153.498
204.0,153.498
205.0,153.498
206.0,153.498
207.0,153.498
208.0,153.498
209.0,153.498
210.0,153.498
211.0,153.498
212.0,154.498
213.0,154.498
214.0,154.498
215.0,154.498
216.0,154.498
217.0,154.498
218.0,154.498
219.0,154.498
220.0,154.498
221.0,154.498
222.0,154.498
223.0,154.498
224.0,155.498
225.0,155.498
226.0,155.498
227.0,155.498
228.0,155.498
229.0,155.498
230.0,155.498
231.0,155.498
232.0,155.498
233.0,155.498
234.0,155.498
235.0,155.498
236.0,155.498
237.0,155.498
238.0,155.498
239.0,155.498
240.0,156.498
241.0,156.498
242.0,156.498
243.0,156.498
244.0,156.498
245.0,156.498
246.0,156.498
247.0,156.498
248.0,156.498
249.0,156.498
250.0,156.498
251.0,156.498
252.0,156.498
253.0,156.498
254.0,156.498
255.0,157.498
256.0,157.498
257.0,157.498
258.0,157.498
259.0,157.498
260.0,157.498
261.0,158.498
262.0,158.498
263.0,158.498
264.0,158.498
265.0,158.498
266.0,158.498
267.0,159.498
268.0,159.498
269.0,159.498
270.0,159.498
271.0,160.498
272.0,160.498
273.0,160.498
274.0,160.498
275.0,161.498
276.0,161.498
277.0,161.498
278.0,161.498
279.0,162.498
280.0,162.498
281.0,162.498
282.0,162.498
283.0,163.498
284.0,163.498
285.0,163.498
286.0,163.498
287.0,163.498
288.0,164.498
289.0,164.498
290.0,164.498
291.0,164.498
292.0,164.498
293.0,165.498
294.0,165.498
295.0,165.498
296.0,166.498
297.0,167.498
298.0,167.498
299.0,168.498
300.0,168.498
301.0,169.498
302.0,169.498
303.0,170.498
304.0,170.498
305.0,171.498
306.0,172.498
307.0,172.498
308.0,173.498
309.0,174.498
310.0,175.498
311.0,175.498
312.0,176.498
313.0,177.498
314.0,177.498
315.0,178.498
316.0,179.498
317.0,179.498
318.0,180.498
319.0,181.498
