y,x_sub
0,43.5020
1,43.5020
2,43.5020
3,43.5020
4,43.5020
5,44.5020
6,44.5020
7,44.5020
8,44.5020
9,44.5020
10,45.5020
11,45.5020
12,45.5020
13,45.5020
14,46.5020
15,46.5020
16,46.5020
17,46.5020
18,47.5020
19,47.5020
20,47.5020
21,47.5020
22,48.5020
23,48.5020
24,48.5020
25,48.5020
26,48.5020
27,49.5020
28,49.5020
29,49.5020
30,49.5020
31,50.5020
32,50.5020
33,50.5020
34,50.5020
35,51.5020
36,51.5020
37,51.5020
38,51.5020
39,52.5020
40,52.5020
41,52.5020
42,52.5020
43,53.5020
44,53.5020
45,53.5020
46,53.5020
47,54.5020
48,54.5020
49,54.5020
50,54.5020
51,55.5020
52,55.5020
53,55.5020
54,55.5020
55,56.5020
56,56.5020
57,56.5020
58,56.5020
59,57.5020
60,57.5020
61,57.5020
62,57.5020
63,57.5020
64,58.5020
65,58.5020
66,58.5020
67,58.5020
68,59.5020
69,59.5020
70,59.5020
71,59.5020
72,59.5020
73,60.5020
74,60.5020
75,60.5020
76,60.5020
77,60.5020
78,61.5020
79,61.5020
80,61.5020
81,61.5020
82,62.5020
83,62.5020
84,62.5020
85,62.5020
86,62.5020
87,63.5020
88,63.5020
89,63.5020
90,63.5020
91,64.5020
92,64.5020
93,64.5020
94,64.5020
95,64.5020
96,65.5020
97,65.5020
98,65.5020
99,65.5020
100,66.5020
101,66.5020
102,66.5020
103,66.5020
104,67.5020
105,67.5020
106,67.5020
107,67.5020
108,68.5020
109,68.5020
110,68.5020
111,68.5020
112,69.5020
113,69.5020
114,69.5020
115,69.5020
116,70.5020
117,70.5020
118,70.5020
119,70.5020
120,71.5020
121,71.5020
122,71.5020
123,71.5020
124,72.5020
125,72.5020
126,72.5020
127,73.5020
128,73.5020
129,73.5020
130,73.5020
131,74.5020
132,74.5020
133,74.5020
134,75.5020
135,75.5020
136,75.5020
137,75.5020
138,76.5020
139,76.5020
140,76.5020
141,77.5020
142,77.5020
143,77.5020
144,78.5020
145,78.5020
146,78.5020
147,79.5020
148,79.5020
149,79.5020
150,80.5020
151,80.5020
152,80.5020
153,81.5020
154,81.5020
155,81.5020
156,82.5020
157,82.5020
158,82.5020
159,83.5020
160,83.5020
161,83.5020
162,84.5020
163,84.5020
164,84.5020
165,85.5020
166,85.5020
167,85.5020
168,86.5020
169,86.5020
170,86.5020
171,86.5020
172,87.5020
173,87.5020
174,87.5020
175,88.5020
176,88.5020
177,88.5020
178,89.5020
179,89.5020
180,89.5020
181,89.5020
182,90.5020
183,90.5020
184,90.5020
185,91.5020
186,91.5020
187,91.5020
188,92.5020
189,92.5020
190,92.5020
191,93.5020
192,93.5020
193,93.5020
194,93.5020
195,94.5020
196,94.5020
197,94.5020
198,95.5020
199,95.5020
200,95.5020
201,95.5020
202,96.5020
203,96.5020
204,96.5020
205,96.5020
206,97.5020
207,97.5020
208,97.5020
209,97.5020
210,98.5020
211,98.5020
212,98.5020
213,98.5020
214,99.5020
215,99.5020
216,99.5020
217,99.5020
218,99.5020
219,100.5020
220,100.5020
221,100.5020
222,100.5020
223,101.5020
224,101.5020
225,101.5020
226,101.5020
227,101.5020
228,101.5020
229,102.5020
230,102.5020
231,102.5020
232,102.5020
233,102.5020
234,102.5020
235,103.5020
236,103.5020
237,103.5020
238,103.5020
239,103.5020
240,104.5020
241,104.5020
242,104.5020
243,104.5020
244,104.5020
245,104.5020
246,104.5020
247,105.5020
248,105.5020
249,105.5020
250,105.5020
251,105.5020
252,105.5020
253,105.5020
254,106.5020
255,106.5020
256,106.5020
257,106.5020
258,106.5020
259,106.5020
260,106.5020
261,106.5020
262,107.5020
263,107.5020
264,107.5020
265,107.5020
266,107.5020
267,107.5020
268,107.5020
269,107.5020
270,107.5020
271,107.5020
272,107.5020
273,107.5020
274,107.5020
275,106.5020
276,106.5020
277,106.5020
278,106.5020
279,106.5020
280,106.5020
281,105.5020
282,105.5020
283,105.5020
284,105.5020
285,105.5020
286,104.5020
287,104.5020
288,104.5020
289,103.5020
290,103.5020
291,103.5020
292,103.5020
293,102.5020
294,102.5020
295,102.5020
296,101.5020
297,101.5020
298,101.5020
299,100.5020
300,100.5020
301,100.5020
302,99.5020
303,99.5020
304,99.5020
305,98.5020
306,98.5020
307,98.5020
308,97.5020
309,97.5020
310,97.5020
311,96.5020
312,96.5020
313,96.5020
314,95.5020
315,95.5020
316,95.5020
317,95.5020
318,94.5020
319,94.5020
320,94.5020
321,94.5020
322,93.5020
323,93.5020
324,93.5020
325,93.5020
326,92.5020
327,92.5020
328,92.5020
329,91.5020
330,91.5020
331,91.5020
332,91.5020
333,91.5020
