y,x_sub
0,236.4980
1,236.4980
2,235.4980
3,235.4980
4,235.4980
5,235.4980
6,235.4980
7,235.4980
8,235.4980
9,234.4980
10,234.4980
11,234.4980
12,234.4980
13,234.4980
14,234.4980
15,234.4980
16,234.4980
17,233.4980
18,233.4980
19,233.4980
20,233.4980
21,233.4980
22,233.4980
23,233.4980
24,233.4980
25,233.4980
26,232.4980
27,232.4980
28,232.4980
29,232.4980
30,232.4980
31,232.4980
32,232.4980
33,232.4980
34,232.4980
35,231.4980
36,231.4980
37,231.4980
38,231.4980
39,231.4980
40,231.4980
41,231.4980
42,231.4980
43,231.4980
44,230.4980
45,230.4980
46,230.4980
47,230.4980
48,230.4980
49,230.4980
50,230.4980
51,230.4980
52,230.4980
53,229.4980
54,229.4980
55,229.4980
56,229.4980
57,229.4980
58,229.4980
59,229.4980
60,229.4980
61,229.4980
62,229.4980
63,228.4980
64,228.4980
65,228.4980
66,228.4980
67,228.4980
68,228.4980
69,228.4980
70,228.4980
71,228.4980
72,228.4980
73,228.4980
74,228.4980
75,227.4980
76,227.4980
77,227.4980
78,227.4980
79,227.4980
80,227.4980
81,227.4980
82,227.4980
83,227.4980
84,227.4980
85,227.4980
86,227.4980
87,227.4980
88,227.4980
89,227.4980
90,227.4980
91,227.4980
92,227.4980
93,226.4980
94,226.4980
95,226.4980
96,226.4980
97,226.4980
98,226.4980
99,226.4980
100,226.4980
101,226.4980
102,226.4980
103,226.4980
104,226.4980
105,226.4980
106,226.4980
107,226.4980
108,226.4980
109,226.4980
110,226.4980
111,226.4980
112,226.4980
113,226.4980
114,226.4980
115,226.4980
116,226.4980
117,226.4980
118,226.4980
119,226.4980
120,226.4980
121,226.4980
122,226.4980
123,226.4980
124,226.4980
125,226.4980
126,226.4980
127,226.4980
128,226.4980
129,226.4980
130,226.4980
131,226.4980
132,226.4980
133,226.4980
134,226.4980
135,226.4980
136,226.4980
137,226.4980
138,226.4980
139,226.4980
140,226.4980
141,226.4980
142,227.4980
143,227.4980
144,227.4980
145,227.4980
146,227.4980
147,227.4980
148,227.4980
149,227.4980
150,227.4980
151,227.4980
152,227.4980
153,227.4980
154,228.4980
155,228.4980
156,228.4980
157,228.4980
158,228.4980
159,228.4980
160,228.4980
161,228.4980
162,229.4980
163,229.4980
164,229.4980
165,229.4980
166,229.4980
167,230.4980
168,230.4980
169,230.4980
170,230.4980
171,231.4980
172,231.4980
173,231.4980
174,231.4980
175,232.4980
176,232.4980
177,232.4980
178,233.4980
179,233.4980
180,233.4980
181,234.4980
182,234.4980
183,234.4980
184,235.4980
185,235.4980
186,235.4980
187,236.4980
188,236.4980
189,236.4980
190,237.4980
191,237.4980
192,237.4980
193,237.4980
194,238.4980
195,238.4980
196,238.4980
197,239.4980
198,239.4980
199,239.4980
200,240.4980
201,240.4980
202,240.4980
203,240.4980
204,241.4980
205,241.4980
206,241.4980
207,242.4980
208,242.4980
209,242.4980
210,242.4980
211,242.4980
212,243.4980
213,243.4980
214,243.4980
215,243.4980
216,243.4980
217,243.4980
218,243.4980
219,243.4980
220,244.4980
221,244.4980
222,244.4980
223,244.4980
224,244.4980
225,244.4980
226,244.4980
227,245.4980
228,245.4980
229,245.4980
230,245.4980
231,245.4980
232,245.4980
233,245.4980
234,245.4980
235,245.4980
236,245.4980
237,245.4980
238,245.4980
239,245.4980
240,245.4980
241,245.4980
242,245.4980
243,245.4980
244,245.4980
245,245.4980
246,245.4980
247,246.4980
248,246.4980
249,246.4980
250,246.4980
251,246.4980
252,246.4980
253,246.4980
254,246.4980
255,246.4980
256,246.4980
257,247.4980
258,247.4980
259,247.4980
260,247.4980
261,247.4980
262,248.4980
263,248.4980
264,248.4980
265,248.4980
266,248.4980
267,248.4980
268,249.4980
269,249.4980
270,249.4980
271,249.4980
272,249.4980
273,249.4980
274,250.4980
275,250.4980
276,250.4980
277,250.4980
278,250.4980
279,251.4980
280,251.4980
281,251.4980
282,251.4980
283,251.4980
284,252.4980
285,252.4980
286,252.4980
287,252.4980
288,253.4980
289,253.4980
290,253.4980
291,254.4980
292,254.4980
293,254.4980
294,255.4980
295,255.4980
296,255.4980
297,256.4980
298,256.4980
299,256.4980
300,257.4980
301,257.4980
302,257.4980
303,258.4980
304,258.4980
305,258.4980
306,259.4980
307,259.4980
308,259.4980
309,260.4980
