y,x_sub
0,180.4980
1,179.4980
2,178.4980
3,178.4980
4,178.4980
5,177.4980
6,177.4980
7,176.4980
8,176.4980
9,175.4980
10,175.4980
11,175.4980
12,174.4980
13,174.4980
14,173.4980
15,173.4980
16,173.4980
17,172.4980
18,172.4980
19,172.4980
20,171.4980
21,171.4980
22,171.4980
23,171.4980
24,170.4980
25,170.4980
26,170.4980
27,170.4980
28,170.4980
29,169.4980
30,169.4980
31,169.4980
32,169.4980
33,169.4980
34,169.4980
35,169.4980
36,168.4980
37,168.4980
38,168.4980
39,168.4980
40,168.4980
41,168.4980
42,168.4980
43,167.4980
44,167.4980
45,167.4980
46,167.4980
47,167.4980
48,167.4980
49,167.4980
50,166.4980
51,166.4980
52,166.4980
53,166.4980
54,166.4980
55,165.4980
56,165.4980
57,165.4980
58,165.4980
59,165.4980
60,165.4980
61,164.4980
62,164.4980
63,164.4980
64,164.4980
65,164.4980
66,164.4980
67,163.4980
68,163.4980
69,163.4980
70,163.4980
71,163.4980
72,162.4980
73,162.4980
74,162.4980
75,162.4980
76,162.4980
77,161.4980
78,161.4980
79,161.4980
80,161.4980
81,161.4980
82,160.4980
83,160.4980
84,160.4980
85,160.4980
86,159.4980
87,159.4980
88,159.4980
89,159.4980
90,159.4980
91,158.4980
92,158.4980
93,158.4980
94,158.4980
95,158.4980
96,157.4980
97,157.4980
98,157.4980
99,157.4980
100,157.4980
101,156.4980
102,156.4980
103,156.4980
104,156.4980
105,156.4980
106,155.4980
107,155.4980
108,155.4980
109,155.4980
110,155.4980
111,154.4980
112,154.4980
113,154.4980
114,154.4980
115,154.4980
116,153.4980
117,153.4980
118,153.4980
119,153.4980
120,153.4980
121,153.4980
122,153.4980
123,152.4980
124,152.4980
125,152.4980
126,152.4980
127,152.4980
128,152.4980
129,152.4980
130,152.4980
131,152.4980
132,151.4980
133,151.4980
134,151.4980
135,151.4980
136,151.4980
137,151.4980
138,151.4980
139,151.4980
140,151.4980
141,151.4980
142,151.4980
143,151.4980
144,151.4980
145,151.4980
146,151.4980
147,151.4980
148,151.4980
149,151.4980
150,151.4980
151,151.4980
152,151.4980
153,151.4980
154,151.4980
155,151.4980
156,151.4980
157,151.4980
158,151.4980
159,151.4980
160,151.4980
161,152.4980
162,152.4980
163,152.4980
164,152.4980
165,152.4980
166,152.4980
167,152.4980
168,152.4980
169,152.4980
170,152.4980
171,152.4980
172,152.4980
173,152.4980
174,152.4980
175,152.4980
176,152.4980
177,152.4980
178,153.4980
179,153.4980
180,153.4980
181,153.4980
182,153.4980
183,153.4980
184,153.4980
185,153.4980
186,153.4980
187,153.4980
188,153.4980
189,153.4980
190,153.4980
191,153.4980
192,153.4980
193,153.4980
194,154.4980
195,154.4980
196,154.4980
197,154.4980
198,154.4980
199,154.4980
200,154.4980
201,154.4980
202,154.4980
203,154.4980
204,154.4980
205,154.4980
206,154.4980
207,154.4980
208,155.4980
209,155.4980
210,155.4980
211,155.4980
212,155.4980
213,155.4980
214,155.4980
215,156.4980
216,156.4980
217,156.4980
218,156.4980
219,156.4980
220,157.4980
221,157.4980
222,157.4980
223,157.4980
224,158.4980
225,158.4980
226,158.4980
227,158.4980
228,159.4980
229,159.4980
230,159.4980
231,159.4980
232,160.4980
233,160.4980
234,160.4980
235,160.4980
236,161.4980
237,161.4980
238,161.4980
239,161.4980
240,162.4980
241,162.4980
242,162.4980
243,162.4980
244,162.4980
245,163.4980
246,163.4980
247,163.4980
248,163.4980
249,163.4980
250,164.4980
251,164.4980
252,164.4980
253,164.4980
254,164.4980
255,164.4980
256,165.4980
257,165.4980
258,165.4980
259,165.4980
260,165.4980
261,166.4980
262,166.4980
263,166.4980
264,166.4980
265,166.4980
266,167.4980
267,167.4980
268,167.4980
269,167.4980
270,168.4980
271,168.4980
272,168.4980
273,168.4980
274,168.4980
275,169.4980
276,169.4980
277,169.4980
278,169.4980
279,170.4980
280,170.4980
281,170.4980
282,170.4980
283,171.4980
284,171.4980
285,171.4980
286,172.4980
287,172.4980
288,172.4980
289,172.4980
290,173.4980
291,173.4980
292,174.4980
293,174.4980
294,174.4980
295,175.4980
296,175.4980
297,176.4980
298,176.4980
299,176.4980
300,177.4980
301,177.4980
302,177.4980
303,178.4980
304,178.4980
305,178.4980
306,179.4980
307,179.4980
308,179.4980
309,180.4980
310,180.4980
311,180.4980
312,181.4980
313,181.4980
314,181.4980
315,182.4980
316,182.4980
317,182.4980
318,183.4980
319,183.4980
320,184.4980
321,184.4980
322,184.4980
323,185.4980
324,185.4980
325,185.4980
326,186.4980
327,186.4980
328,186.4980
329,187.4980
330,187.4980
331,187.4980
332,188.4980
333,188.4980
334,188.4980
335,189.4980
336,189.4980
337,189.4980
338,190.4980
339,190.4980
340,190.4980
341,191.4980
342,191.4980
343,191.4980
344,192.4980
345,192.4980
346,192.4980
